Step,Train Loss,val_loss,val_perplexity,lr,accumulated_time,Tokens/Sec,peak_vram_gb,run_id,model,seq_len
7500,3.966833809137345,3.868303426106771,47.861117239006525,0.0002881064792089,1968.4327572390173,138116.3378027311,14.579439163208008,gdn2_tiny_256,GDN2,256
8000,3.927674639463425,3.8332087198893223,46.21057739788758,0.0002845365634631,2087.1576839200134,137999.66408084182,14.579439163208008,gdn2_tiny_256,GDN2,256
8500,3.896171794652939,3.800316874186198,44.715351389202496,0.0002805304717606,2205.8782167020254,138004.77150893,14.579439163208008,gdn2_tiny_256,GDN2,256
9000,3.870482481479645,3.772912089029948,43.50657556262468,0.0002761028218956,2324.5824324330315,138023.7416093759,14.579439163208008,gdn2_tiny_256,GDN2,256
9500,3.840646323442459,3.747260284423828,42.40474576625616,0.0002712697698822,2442.8486260420323,138534.93969855033,14.579439163208008,gdn2_tiny_256,GDN2,256
10000,3.822791042804718,3.726117960611979,41.5176218753485,0.000266048951003,2561.268556919036,138355.08835938378,14.579439163208008,gdn2_tiny_256,GDN2,256
10500,3.801357735157013,3.70546875,40.669106493204026,0.0002604594154601,2679.870867287027,138142.33423585832,14.579439163208008,gdn2_tiny_256,GDN2,256
11000,3.785973304748535,3.688818868001302,39.99757662890668,0.0002545215588625,2798.992323289014,137540.29332655817,14.579439163208008,gdn2_tiny_256,GDN2,256
11500,3.7644621245861054,3.673078409830729,39.37292549161982,0.0002482570478048,2917.447630809009,138313.76865265798,14.579439163208008,gdn2_tiny_256,GDN2,256
12000,3.748266686677933,3.656737772623698,38.7347748937445,0.0002416887408087,3036.2841759779985,137870.0464297526,14.579439163208008,gdn2_tiny_256,GDN2,256
12500,3.732209267616272,3.642046356201172,38.16986600231396,0.0002348406049139,3155.5646625469963,137356.91789388104,14.579439163208008,gdn2_tiny_256,GDN2,256
13000,3.717798857688904,3.630024973551433,37.71375845190763,0.0002277376282259,3274.344561955004,137935.79622189395,14.579439163208008,gdn2_tiny_256,GDN2,256
13500,3.707687165737152,3.618541971842448,37.283168264515,0.0002204057287361,3393.579773040008,137409.07447481804,14.579439163208008,gdn2_tiny_256,GDN2,256
14000,3.6887564697265622,3.606696065266927,36.84412092739916,0.0002128716597507,3512.573006749997,137688.50117924504,14.579439163208008,gdn2_tiny_256,GDN2,256
14500,3.682798001289368,3.596565755208333,36.47276272127832,0.0002051629122704,3632.811435436001,136262.5924095033,14.579439163208008,gdn2_tiny_256,GDN2,256
15000,3.679308495998383,3.58759994506836,36.1472164293324,0.0001973076146788,3755.0804179330007,133999.6429626129,14.579439163208008,gdn2_tiny_256,GDN2,256
15500,3.665472856044769,3.5773691813151043,35.779288100813794,0.0001893344301048,3874.893614727,136746.2052462373,14.579439163208008,gdn2_tiny_256,GDN2,256
16000,3.658393368959427,3.569599405924479,35.502368264222284,0.0001812724518344,3996.6000438460032,134619.01822770474,14.579439163208008,gdn2_tiny_256,GDN2,256
16500,3.6445522911548616,3.56199951171875,35.23357670879976,0.000173151097152,4117.449620894011,135573.49889186156,14.579439163208008,gdn2_tiny_256,GDN2,256
17000,3.6378729014396662,3.5535237630208334,34.936207759335225,0.0001649999999999,4239.65054647901,134074.2708908848,14.579439163208008,gdn2_tiny_256,GDN2,256
17500,3.629959277629853,3.5458221435546875,34.66817584633877,0.0001568489028479,4362.390368051012,133485.6103761625,14.579439163208008,gdn2_tiny_256,GDN2,256
18000,3.6264666233062735,3.5390553792317707,34.43437639589266,0.0001487275481655,4482.183200345011,136769.45177980218,14.579439163208008,gdn2_tiny_256,GDN2,256
18500,3.61356493639946,3.533580017089844,34.246350938472986,0.0001406655698951,4601.682198900002,137105.75149682464,14.579439163208008,gdn2_tiny_256,GDN2,256
19000,3.60752030992508,3.526055908203125,33.98964461924631,0.0001326923853211,4720.677183697,137686.47500523308,14.579439163208008,gdn2_tiny_256,GDN2,256
19500,3.6079535520076753,3.5208460489908853,33.81302384029801,0.0001248370877295,4841.239660371997,135896.34562805737,14.579439163208008,gdn2_tiny_256,GDN2,256
20000,3.5994432821273805,3.515149943033854,33.62096877605239,0.0001171283402492,4961.12764505099,136660.90095574694,14.579439163208008,gdn2_tiny_256,GDN2,256
